101,"5550123456","Sarah","Jenkins",150,500,"123 Main St"
102,"5550134567","Michael","Chen",200,800,"456 Oak Ave"
103,"5550145678","David","Rodriguez",100,300,"789 Pine Ln"
104,"5550156789","Emily","Patel",120,450,"101 Maple Dr"
105,"5550167890","Brian","Kim",180,600,"202 Birch Rd"
106,"5550178901","Jessica","Nguyen",250,1000,"303 Cedar Pl"
107,"5550189012","Kevin","Lee",90,250,"404 Elm Ct"
108,"5550190123","Laura","Thompson",160,550,"505 Spruce Way"
109,"5550101234","Daniel","Smith",110,400,"606 Willow Bv"
110,"5550112345","Amanda","Jones",130,700,"707 Redwood St"
111,"5550123457","Robert","Garcia",220,900,"808 Aspen Ave"
112,"5550134568","Megan","Brown",140,480,"909 Sequoia Dr"
113,"5550145679","James","Wilson",170,620,"111 Juniper Ln"
114,"5550156780","Olivia","Davis",190,750,"222 Cypress Rd"
115,"5550167891","William","Miller",210,850,"333 Poplar Pl"
116,"5550178902","Sophia","Martinez",100,350,"444 Holly Ct"
117,"5550189013","Joseph","Anderson",150,500,"555 Cherry Way"
118,"5550190124","Isabella","Taylor",200,800,"666 Sycamore Bv"
119,"5550101235","Richard","Thomas",120,450,"777 Magnolia St"
120,"5550112346","Chloe","Moore",180,600,"888 Dogwood Ave"
121,"5550123458","Charles","Jackson",250,1000,"999 Palm Dr"
122,"5550134569","Ava","Martin",90,250,"121 Fig Ln"
123,"5550145670","Thomas","Lee",160,550,"232 Orange Rd"
124,"5550156781","Mia","Perez",110,400,"343 Lemon Pl"
125,"5550167892","Matthew","White",130,700,"454 Lime Ct"
126,"5550178903","Evelyn","Harris",220,900,"565 Grape Way"
127,"5550189014","Anthony","Sanchez",140,480,"676 Peach Bv"
128,"5550190125","Abigail","Clark",170,620,"787 Plum St"
129,"5550101236","Mark","Lewis",190,750,"898 Kiwi Ave"
130,"5550112347","Harper","Robinson",210,850,"100 Mango Dr"
131,"5550123459","Steven","Walker",100,350,"210 Papaya Ln"
132,"5550134570","Ella","Young",150,500,"321 Berry Rd"
133,"5550145681","Paul","Allen",200,800,"432 Melon Pl"
134,"5550156792","Amelia","King",120,450,"543 Guava Ct"
135,"5550167803","Joshua","Wright",180,600,"654 Lychee Way"
136,"5550178914","Charlotte","Scott",250,1000,"765 Fig Bv"
137,"5550189025","Andrew","Green",90,250,"876 Pear St"
138,"5550190136","Grace","Adams",160,550,"987 Coconut Ave"
139,"5550101247","Christopher","Baker",110,400,"191 Date Dr"
140,"5550112358","Victoria","Nelson",130,700,"282 Olive Ln"
